id,track_name,artist_name,valence,energy,danceability
4MIM3WVaGRVvzNmrI2AGqY,Mutilation,Death,0.26,0.944,0.295
13eOIRIQSG31fZ0jvB5XL1,Antídoto Y Veneno,Eddie Santiago,0.876,0.674,0.561
6l1LzWzwHjlHV385A0Ihaf,Dreamland,Carl Craig,0.16,0.576,0.572
1arpHpKIPv1K9QIoo3kIef,Mongo Musicale,Birdflesh,0.0502,0.714,0.407
7wyBHQWBpLJAPczbzcZ8PU,Broken Angel (feat. Helena),Arash,0.79,0.802,0.654
3Ai44VQ9zklXdczSHCUutu,The Fear,Ben Howard,0.457,0.575,0.604
137O1R5exWz3qxpq2Mtdib,Lifted - Mat Zo Remix,Various Artists,0.67,0.76,0.685
71O1jD7bF3cdMPvPi186V6,I Will Wait,Mumford & Sons,0.429,0.776,0.477
0fmQ692NrBq51GSFVNV3og,Visa vid vindens ängar,Håkan Hellström,0.336,0.659,0.172
2n2dKxJm1GluuMd7jZl2gS,Baby du riechst,257ers,0.474,0.914,0.594
4JjQPwb0MnDsO5wIvxlvNi,Won't Get Fooled Again - Original Album Version,The Who,0.274,0.856,0.692
38TyBxlLzRSPi7O4AtJGjj,Beautiful Stranger,Béatrice Ardisson,0.221,0.352,0.595
40cVo9HG8qiZAYVgM3MS93,公公偏頭痛,Jay Chou,0.969,0.77,0.468
0qksx8mV28lztYIZ1om8ml,Shiver,Coldplay,0.286,0.803,0.396
23klgSCFwYmPl391usa0te,Chinese Thunder Drums 3,Drums Of The World,0.692,0.61,0.56
06rX7e9biKvoX2tpx8IgXT,Heart Of Rub-A-Dub - Live,Gentleman,0.899,0.8,0.705
6iuRL2eQNTNQ2trVdbBYsE,Survivalism,Nine Inch Nails,0.354,0.675,0.618
2fBu8AHpA2vd9if8esgP34,Y Si la Ves,Ñejo,0.754,0.696,0.749
1UeW7X5n782hG4fwijN4Xm,Beautiful,Trampled by Turtles,0.168,0.0693,0.291
3B8SUSoubPK1PTjIuTbc6Y,YAKIMOCHI,BAND JA NAIMON! MAXX NAKAYOSHI,0.911,0.813,0.77
67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake,0.0815,0.799,0.818
4hnLubxViF8ScCBBWHUGGP,Wall of Denial,Stevie Ray Vaughan,0.678,0.779,0.404
7uTs0S0Oh0Lc4Zz5m8lQfR,Chinese Radio,Various Artists,0.0389,0.543,0.606
4giIdAr7Plyu5LQzBOR4FP,All Night Long - Single Version,Lionel Richie,0.851,0.583,0.744
1BFIJvvg7SppjKhMZLepxS,Soñar y Nada Más,Various Artists,0.665,0.594,0.512
5C10L8M9jikkyrsH0hI3AN,"My, My, My",Eva Eastwood,0.954,0.938,0.607
0xj43pGvtNlCTy8PehkHxf,Beach Kisses - Joris Voorn Green Mix,Dosem,0.166,0.388,0.922
78El3zAkN9I0P0J06kn5PK,Lovers’ Carvings,Bibio,0.427,0.47,0.558
4JzuR2gtV3Kk8iPIV7eegN,En kärleksaffär,Lasse Stefanz,0.962,0.825,0.667
2xWVD6aecDSHroyPVVcPpa,Love Me Right,Amber Mark,0.231,0.525,0.53
2LxYSBpLM0xGXy9TP9BWRd,Passion Whine,Farruko,0.754,0.667,0.796
0UA6qu0q7LKR575c8nAkXP,For Us,Arctic Lake,0.0989,0.447,0.554
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.862,0.811,0.794
2o92vCWq7c6BJ7ZOruyofu,Running from the Cops,Masked Intruder,0.965,0.931,0.516
3Txcx4jhuiTZSvhAL0WaRc,Crush,Yuna,0.355,0.414,0.678
57460SJgSpCXaRJ9YIYHxy,Going Up The Country,Canned Heat,0.765,0.239,0.653
3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,0.459,0.56,0.75
2XqTTDg835sjCyyFEvhYyr,Stand By Me,Ben E. King,0.658,0.156,0.642
4Tq2fWpX1nLCkMSOPkYb1Y,Moanin',Art Blakey & The Jazz Messengers,0.448,0.233,0.614
1qlRSRaD3Hb5lfzcAs0Ev1,Carrie - Single Version,Various Artists,0.144,0.524,0.44
2x1LQq8lsUzAA2wNj8yjC9,Pick Up the Pieces,Average White Band,0.889,0.853,0.768
3HfB5hBU0dmBt8T0iCmH42,Creep,Radiohead,0.126,0.344,0.532
3iwsyTZzOWHZbHffBEyi1N,Right Now,SR-71,0.731,0.967,0.524
33fdvicpRVPWCPz19Obajn,Back To Black,Amy Winehouse,0.335,0.725,0.49
06OdP0ni9At8kzDlzqLXI6,後天症のバックビート,Hitorie,0.775,0.874,0.559
0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,David Lee Murphy,0.858,0.614,0.736
7jLwP6B3bcEQFooFZk67cH,Somewhere With You,Tyler Ward,0.423,0.4,0.636
3CuU8OCG4RYYwXOI4Pn4Xd,Fatality - Edit,Various Artists,0.112,0.974,0.509
7DFNE7NO0raLIUbgzY2rzm,Let Her Go,Passenger,0.244,0.538,0.509
6dHAJi8G7DSlNTdWZdwugw,I Would Die 4 U,Prince,0.627,0.75,0.733
3C6riHowFU9ucIOAWGf9hN,Sem Você Eu Nada Sou,Trio Nordestino,0.746,0.55,0.681
14fmbvjYLqRZEXz1VZdM2M,We Found Love,Rihanna,0.609,0.74,0.755
5Anh8jULgeUgciLHCR25Mk,Like A Star,Corinne Bailey Rae,0.142,0.226,0.606
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,0.583,0.791,0.894
4tOeiJqj6vhXjkckN6T3X5,Never Believe You,Mavado,0.657,0.685,0.953
4XXBo4dVpofpI1v0lT4u7l,Baby It's Cold Outside,Tom Jones,0.569,0.645,0.342
0s9jKsjMpUt2pYjzVnmMeE,Calling Card,Within The Ruins,0.193,0.994,0.448
0LBmvPJYmtEJ7kkWvc3kbT,Oceans,Pearl Jam,0.147,0.377,0.362
3lzzAHJwHjSpA71ftgzDeX,Hallelujah - Club Mix,Happy Mondays,0.575,0.908,0.62
6kjlvJLh2DBsSQtqVzFh8I,Immigrant Song - 1990 Remaster,Led Zeppelin,0.609,0.926,0.574
6ZfHhdvi9zOxkShVzzzUJB,"Twinkle, Twinkle Little Star",Dora The Explorer,0.623,0.632,0.818
1rmennvo73CrzQPCrYU6o5,Sneakers,Teen Idles,0.306,0.898,0.325
0JUa73C2r5beBMhy9NXX1E,The Night Out - Madeon Remix,Martin Solveig,0.35,0.896,0.452
